Route,Airline,Manufacturer,Distance,DestState,DestLong,DestAirport,DestLat,OriginLong,OriginAirport,OriginState,OriginLat,Flights,DestCity,OriginCity
EWR-PBI,Continental Air Lines Inc.,BOEING,1024,NJ,-74.1686630249,Newark Intl,40.6924972534,-80.0955963135,Palm Beach International,FL,26.6831626892,4442,Newark,West Palm Beach
DEN-SEA,Southwest Airlines Co.,BOEING,1024,CO,-104.666999817,Denver Intl,39.8584098816,-122.309310913,Seattle-Tacoma Intl,WA,47.4489822388,2689,Denver,Seattle
DEN-SEA,United Air Lines Inc.,AIRBUS,1024,CO,-104.666999817,Denver Intl,39.8584098816,-122.309310913,Seattle-Tacoma Intl,WA,47.4489822388,909,Denver,Seattle
DEN-SEA,United Air Lines Inc.,BOEING,1024,WA,-122.309310913,Seattle-Tacoma Intl,47.4489822388,-104.666999817,Denver Intl,CO,39.8584098816,3485,Seattle,Denver
EWR-PBI,JetBlue Airways,AIRBUS,1024,FL,-80.0955963135,Palm Beach International,26.6831626892,-74.1686630249,Newark Intl,NJ,40.6924972534,944,West Palm Beach,Newark
EWR-PBI,JetBlue Airways,EMBRAER,1024,NJ,-74.1686630249,Newark Intl,40.6924972534,-80.0955963135,Palm Beach International,FL,26.6831626892,1,Newark,West Palm Beach
DEN-SEA,Alaska Airlines Inc.,BOEING,1024,WA,-122.309310913,Seattle-Tacoma Intl,47.4489822388,-104.666999817,Denver Intl,CO,39.8584098816,2250,Seattle,Denver
CVG-SAT,Atlantic Southeast Airlines,BOMBARDIER INC,1024,TX,-98.4697799683,San Antonio International,29.5336952209,-84.6621704102,Cincinnati Northern Kentucky Intl,KY,39.0461425781,5,San Antonio,Covington
DEN-SEA,Southwest Airlines Co.,CESSNA,1024,WA,-122.309310913,Seattle-Tacoma Intl,47.4489822388,-104.666999817,Denver Intl,CO,39.8584098816,3,Seattle,Denver
CVG-SAT,Comair Inc.,CANADAIR,1024,TX,-98.4697799683,San Antonio International,29.5336952209,-84.6621704102,Cincinnati Northern Kentucky Intl,KY,39.0461425781,462,San Antonio,Covington
CVG-SAT,Comair Inc.,BOMBARDIER INC,1024,TX,-98.4697799683,San Antonio International,29.5336952209,-84.6621704102,Cincinnati Northern Kentucky Intl,KY,39.0461425781,1265,San Antonio,Covington
CLE-RSW,Expressjet Airlines Inc.,EMBRAER,1025,OH,-81.849395752,Cleveland-Hopkins Intl,41.4108924866,-81.7551651001,Southwest Florida International,FL,26.5361671448,58,Cleveland,Ft. Myers
CLE-RSW,Continental Air Lines Inc.,BOEING,1025,FL,-81.7551651001,Southwest Florida International,26.5361671448,-81.849395752,Cleveland-Hopkins Intl,OH,41.4108924866,1099,Ft. Myers,Cleveland
CAK-FLL,AirTran Airways Corporation,BOEING,1026,FL,-80.1527481079,Fort Lauderdale-Hollywood Int'l,26.0725841522,-81.4424667358,Akron-Canton Regional,OH,40.9163131714,16,Ft. Lauderdale,Akron
FCA-MSP,Northwest Airlines Inc.,AIRBUS,1026,MT,-114.255065918,Glacier Park Intl,48.3114051819,-93.2169189453,Minneapolis-St Paul Intl,MN,44.8805465698,408,Kalispell,Minneapolis
ATL-PWM,Delta Air Lines Inc.,MCDONNELL DOUGLAS,1027,ME,-70.3087463379,Portland International Jetport,43.6461677551,-84.426940918,William B Hartsfield-Atlanta Intl,GA,33.6404457092,204,Portland,Atlanta
ATL-PWM,Atlantic Southeast Airlines,BOMBARDIER INC,1027,GA,-84.426940918,William B Hartsfield-Atlanta Intl,33.6404457092,-70.3087463379,Portland International Jetport,ME,43.6461677551,1490,Atlanta,Portland
SGF-SLC,Skywest Airlines Inc.,BOMBARDIER INC,1027,MO,-93.3868560791,Springfield-Branson Regional,37.2443275452,-111.977775574,Salt Lake City Intl,UT,40.7883872986,1,Springfield,Salt Lake City
GEG-SAN,Expressjet Airlines Inc.,EMBRAER,1027,WA,-117.533843994,Spokane Intl,47.6198539734,-117.189659119,San Diego International-Lindbergh,CA,32.7335548401,901,Spokane,San Diego
